arm,seed,eta,frame_id,evaluable,E_sym,E_fixed,frame_mean_px,fixed_frame_mean_px,branch,n_corners,center_error_px,rescue,true_collapse
B2_THREE_EQUAL,3,1.0,G38__G__f18901,True,0.0012942044641395664,0.0012942044641395664,1.0353635713116531,1.0353635713116531,0,8,1.7208762331203895,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_07_f0036,True,0.0016910445099918541,0.0016910445099918541,1.3528356079934833,1.3528356079934833,0,8,0.8380888316627914,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_02_f0209,True,0.0028022852757765343,0.0028022852757765343,2.4249079800696096,2.4249079800696096,0,8,0.22678455349834442,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_03_f0707,True,0.002366025742329078,0.002366025742329078,2.606067536188009,2.606067536188009,0,8,1.6039978121681386,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_03_f0384,True,0.005541021660803415,0.005541021660803415,4.432817328642732,4.432817328642732,0,6,12.56811951863501,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f5404,True,0.005037922300822914,0.005037922300822914,5.549037579400153,5.549037579400153,0,8,5.272264996915328,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_05_f1184,True,0.003822955144338144,0.003822955144338144,4.210807649182753,4.210807649182753,0,8,7.900070970952449,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f0548,True,0.0021297380240994966,0.0021297380240994966,2.345807581842844,2.345807581842844,0,8,1.2481262135583238,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_01_f1196,True,0.0015711001016383065,0.0015711001016383065,1.256880081310645,1.256880081310645,0,8,1.0649492469392077,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_07_f0971,True,0.0038776995894870586,0.0038776995894870586,4.271106114553113,4.271106114553113,0,8,3.036322539484975,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_05_f0916,True,0.006620134497770195,0.006620134497770195,7.291770876023568,7.291770876023568,0,8,2.980788435584975,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_03_f0082,True,0.0026455368308327273,0.0026455368308327273,2.1164294646661816,2.1164294646661816,0,8,2.1081749222288826,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f1518,True,0.0015610811351956548,0.0015610811351956548,1.3508539387457916,1.3508539387457916,0,8,0.6144554775170304,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f5745,True,0.0073273335109330755,0.0073273335109330755,6.340578404662748,6.340578404662748,0,8,3.6183075749960887,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f1385,True,0.0023585103054009713,0.0023585103054009713,1.886808244320777,1.886808244320777,0,8,1.1702585730676096,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_04_f1162,True,0.0028768865069627664,0.0028768865069627664,3.1687569568506477,3.1687569568506477,0,8,2.7930949061143675,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_01_f0499,True,0.003193951927444908,0.003193951927444908,3.5179898009332824,3.5179898009332824,0,8,5.501805533638301,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_06_f0443,True,0.0041299034902809294,0.0041299034902809294,3.573738911262141,3.573738911262141,0,8,1.0929332417766044,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_06_f0578,True,0.005533470302542319,0.005533470302542319,4.788290617697656,4.788290617697656,0,8,5.258421627031235,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_03_f0825,True,0.0014545088375267118,0.0014545088375267118,1.602073973567831,1.602073973567831,0,8,1.473633436971095,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f13891,True,0.002074830423684193,0.002074830423684193,1.6598643389473544,1.6598643389473544,0,8,0.5503692830716761,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_00_f0503,True,0.0016604723357338744,0.0016604723357338744,1.8289332070557265,1.8289332070557265,0,8,2.778374176251622,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_01_f0469,True,0.0014910429383509615,0.0014910429383509615,1.1928343506807693,1.1928343506807693,0,8,0.6440690671079612,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_05_f0588,True,0.0025269767274285772,0.0025269767274285772,2.0215813819428616,2.0215813819428616,0,8,2.382037232368429,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_03_f0114,True,0.005103635856954517,0.005103635856954517,4.4163409856510665,4.4163409856510665,0,8,2.254925729059089,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f1436,True,0.002745017549242271,0.002745017549242271,2.1960140393938166,2.1960140393938166,0,8,0.9013869940863576,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f1422,True,0.001965845157654284,0.001965845157654284,1.7011093237308266,1.7011093237308266,0,8,0.6752309173884775,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f33519,True,0.0019181163327548116,0.0019181163327548116,1.5344930662038494,1.5344930662038494,0,8,0.7988048598976779,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f1992,True,0.002533510338129086,0.002533510338129086,2.790544044671096,2.790544044671096,0,8,1.7921765494767685,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_05_f0649,True,0.009733807399046451,0.009733807399046451,7.787045919237161,7.787045919237161,0,8,0.8567922358561643,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f33777,True,0.0011267249321465565,0.0011267249321465565,1.2410352158680702,1.2410352158680702,0,8,0.6000694018745815,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_00_f0648,True,0.006523306279333957,0.006523306279333957,5.644827666166752,5.644827666166752,0,6,7.663585976020153,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f39917,True,0.004078764670437107,0.004078764670437107,3.2302168162098157,3.2302168162098157,0,8,1.9644760526801366,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f18768,True,0.004729977379204537,0.004729977379204537,4.0930022334016165,4.0930022334016165,0,8,2.6773991510710666,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_02_f0467,True,0.005826534694342401,0.005826534694342401,4.661227755473921,4.661227755473921,0,6,3.9626483836170965,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_04_f1029,True,0.005311979509789147,0.005311979509789147,4.249583607831318,4.249583607831318,0,8,3.5351107092908256,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f16086,True,0.0075211150538876965,0.0075211150538876965,6.508263834109487,6.508263834109487,0,8,1.2346713794314481,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_07_f0787,True,0.0037449750319493926,0.0037449750319493926,2.995980025559514,2.995980025559514,0,8,0.8371019690080757,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_04_f0584,True,0.009519099029935694,0.009519099029935694,8.23718391567664,8.23718391567664,0,6,11.414807278946972,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_02_f1022,True,0.002501812529003466,0.002501812529003466,2.0014500232027728,2.0014500232027728,0,8,0.19661030900555884,False,False
